PCM,Maths,Physics,Chemistry,Rank
99.9996379,100,99.9926087,99.997961,1
99.9952927,99.9876886,99.9808846,99.9062071,11
99.9902233,99.9417017,99.9785908,99.9678861,21
99.9858781,99.9337355,99.9742579,99.9500451,31
99.9818949,99.9768255,99.9006,99.8768969,41
99.9761013,99.9659625,99.9768067,99.645983,51
99.9688593,99.9905854,99.1003023,99.9276164,61
99.9627036,99.9101989,99.828981,99.9569267,71
99.95691,99.8859382,99.8473317,99.9316943,81
99.9503922,99.5404938,99.9852174,99.9796102,91
99.9442364,99.9659625,99.828981,99.645983,101
99.9362702,99.7515987,99.9579461,99.8384112,111
99.9293903,99.9742908,99.6176922,99.6151435,121
99.9217862,99.9101989,99.828981,99.645983,131
99.9156305,99.7515987,99.7186214,99.9500451,141
99.9109231,99.7917919,99.9006,99.6964476,151
99.9058537,99.8381408,99.6964476,99.7828492,161
99.9004222,99.7200959,99.9408697,99.6964476,171
99.8942665,99.9543753,99.7423245,98.9909622,181
99.8899213,99.4376571,99.9579461,99.8384112,191
99.885214,99.7729626,99.8636435,99.5088619,201
99.8794203,99.8294504,99.8893856,99.3169434,211
99.8750751,99.6940246,99.828981,99.7706153,221
99.867471,99.9101989,99.6691763,99.3169434,231
99.8613153,99.8859382,99.3477829,99.6964476,241
99.8562459,99.8859382,99.6931343,99.1683531,251
99.8504523,99.7943266,99.5358783,99.7068973,261
99.8453828,99.3572706,99.9069718,99.8414697,271
99.8410376,99.9337355,99.6176922,98.7220724,281
99.835244,99.6111035,99.6176922,99.8384112,291
99.8305367,99.7534092,99.6018901,99.5735994,301
99.8265536,99.6940246,99.8893856,99.088833,311
99.82076,99.6111035,99.8006902,99.4637496,321
99.8138801,99.7534092,99.3727603,99.6778419,331
99.806638,99.9742908,99.4910209,97.5687772,341
99.7990339,99.3974638,99.6931343,99.8768969,351
99.7925161,99.5404938,99.918441,99.1224761,361
99.7878088,99.6940246,99.6691763,99.3169434,371
99.7794805,99.3974638,99.6931343,99.8014548,381
99.774411,99.3974638,99.8473317,99.564424,391
99.7697037,99.8294504,99.6691763,98.5110385,401
99.7642722,99.874713,99.7303456,97.3643699,411
99.7588407,99.5050079,99.5595814,99.645983,421
99.7534092,99.204464,99.7701056,99.8014548,431
99.749064,99.8294504,99.4234798,98.8237663,441
99.7439946,99.5719966,99.2848295,99.7270322,451
99.7396493,99.7200959,99.1810967,99.564424,461
99.7338557,99.5050079,99.0946951,99.8603302,471
99.7291484,99.8595048,99.1410818,98.7220724,481
99.7237169,99.7515987,98.937694,99.4637496,491
99.7182854,99.4376571,98.937694,99.9036584,501
99.7139402,99.1678918,99.8819943,99.4160885,511
99.7066981,99.7729626,99.7902404,96.8383144,521
99.7016287,99.204464,99.5919501,99.8014548,531
99.6976456,99.6111035,99.4910209,99.0189981,541
99.6933004,99.4376571,99.3128654,99.6151435,551
99.6893173,99.2529855,99.3128654,99.8384112,561
99.6838858,99.6161729,99.7040938,98.2620287,571
99.6795406,99.7548576,98.1600799,99.6281419,581
99.6741091,99.4376571,99.8723092,97.9944132,591
99.6701259,99.4376571,99.7186214,98.7220724,601
99.6665049,99.2529855,99.8006902,99.0189981,611
99.6617976,98.7406125,99.8473317,99.8014548,621
99.6549177,99.9866023,99.2776931,92.6630033,631
99.6509346,99.6940246,98.663197,99.4979024,641
99.6455031,99.204464,99.3477829,99.8014548,651
99.6411579,99.5050079,99.9319492,96.7162308,661
99.6364505,99.8595048,98.937694,97.9944132,671
99.6324674,99.5694618,99.5919501,98.569659,681
99.6281222,99.7200959,99.6931343,97.2020165,691
99.6241391,99.5086289,99.9046779,96.8587041,701
99.620156,98.9879276,99.8473317,99.3944244,711
99.6150866,99.111404,99.2728505,99.8603302,721
99.6089309,99.8859382,98.8120422,97.7066629,731
99.6049477,99.5050079,99.7558327,97.7596762,741
99.6006025,99.6483999,99.5177824,97.8427644,751
99.5944468,99.3974638,99.5919501,98.9132263,761
99.5897395,99.3073007,98.8951304,99.7706153,771
99.5853943,99.8294504,98.0955973,99.088833,781
99.580687,99.312008,99.2389526,99.5203311,791
99.5756176,99.953289,98.243423,97.3643699,801
99.5719966,99.7729626,99.5177824,96.2250926,811
99.5676513,98.7406125,99.3477829,99.9316943,821
99.5633061,98.7406125,99.5919501,99.8014548,831
99.559323,99.4376571,99.6176922,97.9944132,841
99.5535294,99.3547359,99.7902404,97.8427644,851
99.5495463,98.7406125,99.8473317,99.3944244,861
99.5452011,98.8774867,99.3128654,99.8384112,871
99.5404938,98.9354229,98.9845904,99.9146179,881
99.5361485,98.752924,99.5944988,99.6281419,891
99.5321654,99.3974638,99.4673178,98.569659,901
99.5256476,99.5404938,99.3699567,98.2396,911
99.5205782,99.3073007,99.6691763,98.1516692,921
99.5158709,98.4632431,99.7701056,99.6964476,931
99.5104394,99.7943266,99.0559546,96.7812231,941
99.5060942,99.6940246,98.663197,98.5110385,951
99.5010247,99.7729626,99.3699567,95.5606417,961
99.4970416,99.5050079,98.4062862,99.3169434,971
99.4930585,99.5404938,99.7303456,96.2250926,981
99.4869028,99.3547359,99.7902404,96.8383144,991
99.4821955,98.6942636,98.8546058,99.9426538,1001
99.4778503,99.0523815,99.7186214,98.3841123,1011
99.473143,99.8366924,96.7083297,98.7671847,1021
99.4691599,99.3547359,97.901385,99.7563425,1031
99.4648146,98.6174982,99.4910209,99.7428343,1041
99.4608315,98.8311378,99.4234798,99.4979024,1051
99.4550379,99.7729626,97.901385,98.2396,1061
99.4506927,98.5591999,99.6691763,99.4979024,1071
99.4463475,99.1678918,99.5358783,98.4345769,1081
99.4427265,99.2529855,99.7186214,97.0223319,1091
99.4387434,99.2529855,99.6176922,97.5687772,1101
99.4343982,98.8774867,99.8006902,98.3841123,1111
99.430415,99.111404,98.8951304,99.4979024,1121
99.4253456,99.6940246,98.4062862,98.1516692,1131
99.4213625,98.7489409,99.1489828,99.6714702,1141
99.4177415,99.5050079,98.8951304,98.1516692,1151
99.4130342,98.9879276,99.1810967,99.3944244,1161
99.4083269,99.5404938,99.2078582,97.3643699,1171
99.4036196,99.3073007,99.4234798,97.7596762,1181
99.3999986,99.6161729,98.9534961,96.9616724,1191
99.3938428,98.4632431,99.6931343,99.3944244,1201
99.3905839,99.4376571,99.1410818,97.5687772,1211
99.3858766,98.9879276,99.7701056,97.7066629,1221
99.3818935,99.4376571,98.1422389,99.0189981,1231
99.3775483,98.9354229,99.5177824,98.8772894,1241
99.3739273,99.3974638,98.3130031,99.1683531,1251
99.3695821,99.3974638,98.5811283,98.9132263,1261
99.3659611,98.6844869,99.0559546,99.7068973,1271
99.3608916,99.204464,99.1810967,98.569659,1281
99.3572706,98.5591999,99.6691763,99.088833,1291
99.3522012,99.5404938,98.5334672,98.2396,1301
99.3460455,99.2529855,99.4910209,97.0223319,1311
99.3409761,99.111404,98.4062862,99.4979024,1321
99.3362688,99.2529855,98.7172298,98.7220724,1331
99.3293888,99.0523815,98.1422389,99.6151435,1341
99.3246815,97.7477314,99.9069718,99.4089521,1351
99.3210605,99.5433906,98.5976949,97.6551787,1361
99.315629,99.4499685,94.38033,99.8180215,1371
99.3105596,99.3547359,99.6317101,95.5606417,1381
99.3065765,99.7548576,97.8009655,96.918599,1391
99.3029555,99.7515987,98.937694,94.0816202,1401
99.2993345,99.3547359,98.5334672,98.6078898,1411
99.2949892,99.111404,97.3773684,99.7706153,1421
99.2899198,98.9354229,99.6317101,97.8427644,1431
99.2859367,99.7200959,97.2257196,98.1972912,1441
99.2815915,98.677969,99.5177824,98.8772894,1451
99.2757979,99.5050079,98.4062862,97.7596762,1461
99.2700043,99.6483999,98.243423,96.8383144,1471
99.2660212,99.7222685,98.3295697,95.617733,1481
99.2616759,99.3073007,97.7617152,99.088833,1491
99.2569686,98.9879276,99.3477829,98.1972912,1501
99.2518992,97.8364462,99.6931343,99.564424,1511
99.2471919,99.111404,99.2728505,97.7596762,1521
99.2424846,99.0523815,99.3128654,97.5687772,1531
99.2377773,98.9354229,98.9845904,98.8772894,1541
99.2334321,98.627637,98.6695688,99.6006158,1551
99.2290869,98.3097123,99.4910209,99.2608716,1561
99.2258279,98.8311378,99.2728505,98.5110385,1571
99.2211206,98.3864777,99.6317101,98.8772894,1581
99.2174996,99.5404938,99.5177824,92.6125387,1591
99.2127923,98.3864777,98.5334672,99.848861,1601
99.2084471,99.3547359,99.5177824,94.7001942,1611
99.2037398,99.3149048,89.3139869,99.9536133,1621
99.2001188,99.4499685,99.7774969,87.9978285,1631
99.1957736,99.1678918,98.3229431,98.7518924,1641
99.1914283,99.111404,97.3773684,99.4979024,1651
99.1870831,98.8774867,99.8006902,95.7693817,1661
99.1827379,98.677969,99.7902404,96.8383144,1671
99.1783927,98.8774867,99.1410818,98.3841123,1681
99.1733233,99.7729626,98.5334672,92.6125387,1691
99.1693402,98.8311378,99.2728505,98.1516692,1701
99.1657192,99.5050079,96.9453606,98.5110385,1711
99.1617361,98.9879276,98.3130031,99.1683531,1721
99.1573908,98.0786918,99.7303456,98.8772894,1731
99.1534077,98.7406125,99.0184884,98.9132263,1741
99.1494246,97.8487576,99.4956086,99.5735994,1751
99.1454415,99.3547359,98.7822222,96.8383144,1761
99.1414584,98.4632431,99.4673178,98.569659,1771
99.1360269,99.111404,98.663197,98.1516692,1781
